Results for maximal NE \\ 
|V| =20 

 & ins & time & iter & pNE & mNE & size S & numb_back & time & iter & pNE & mNE & size S \\ 
 &8 & 0.69 & 3 & 1 & 0 &[2, 2] & 0 & & 0.68 & 3 & 1 & 0 &[2, 2]& 
 &9 & 0.82 & 3 & 1 & 0 &[2, 2] & 0 & & 0.81 & 3 & 1 & 0 &[2, 2]& 
 &10 & 0.47 & 3 & 1 & 0 &[2, 2] & 0 & & 0.46 & 3 & 1 & 0 &[2, 2]& 
 &11 & 0.19 & 3 & 1 & 0 &[2, 2] & 0 & & 0.19 & 3 & 1 & 0 &[2, 2]& 
 &12 & 0.53 & 3 & 1 & 0 &[2, 2] & 0 & & 0.52 & 3 & 1 & 0 &[2, 2]& 
 &13 & 0.43 & 3 & 1 & 0 &[2, 2] & 0 & & 0.42 & 3 & 1 & 0 &[2, 2]& 
 &14 & 0.39 & 4 & 1 & 0 &[3, 2] & 0 & & 0.38 & 4 & 1 & 0 &[3, 2]& 
 &15 & 0.46 & 4 & 1 & 0 &[3, 2] & 0 & & 0.45 & 4 & 1 & 0 &[3, 2]& 
 &16 & 0.87 & 4 & 1 & 0 &[3, 2] & 0 & & 0.86 & 4 & 1 & 0 &[3, 2]& 
 &17 & 0.30 & 4 & 1 & 0 &[3, 2] & 0 & & 0.29 & 4 & 1 & 0 &[3, 2]& 
 &18 & 1.78 & 4 & 1 & 0 &[3, 2] & 0 & & 1.76 & 4 & 1 & 0 &[3, 2]& 
 &19 & 0.70 & 3 & 1 & 0 &[2, 2] & 0 & & 0.69 & 3 & 1 & 0 &[2, 2]& 
 &20 & 2.18 & 3 & 1 & 0 &[2, 2] & 0 & & 2.16 & 3 & 1 & 0 &[2, 2]& 
 &21 & 3.24 & 3 & 1 & 0 &[2, 2] & 0 & & 3.19 & 3 & 1 & 0 &[2, 2]& 
 &22 & 0.15 & 3 & 1 & 0 &[2, 2] & 0 & & 0.14 & 3 & 1 & 0 &[2, 2]& 
 &23 & 0.37 & 4 & 1 & 0 &[3, 2] & 0 & & 0.36 & 4 & 1 & 0 &[3, 2]& 
 &24 & 1.14 & 3 & 1 & 0 &[2, 2] & 0 & & 1.12 & 3 & 1 & 0 &[2, 2]& 
 &25 & 0.46 & 3 & 1 & 0 &[2, 2] & 0 & & 0.45 & 3 & 1 & 0 &[2, 2]& 
 &26 & 0.69 & 6 & 1 & 0 &[4, 3] & 0 & & 0.67 & 6 & 1 & 0 &[4, 3]& 
 &27 & 1.04 & 3 & 1 & 0 &[2, 2] & 0 & & 1.03 & 3 & 1 & 0 &[2, 2]& 
 &28 & 1.43 & 4 & 1 & 0 &[3, 2] & 0 & & 1.41 & 4 & 1 & 0 &[3, 2]& 
 &29 & 0.13 & 4 & 1 & 0 &[3, 2] & 0 & & 0.13 & 4 & 1 & 0 &[3, 2]& 
 &30 & 5.33 & 4 & 1 & 0 &[3, 2] & 0 & & 5.31 & 4 & 1 & 0 &[3, 2]& 
 &31 & 0.83 & 4 & 1 & 0 &[3, 2] & 0 & & 0.82 & 4 & 1 & 0 &[3, 2]& 
 &32 & 0.75 & 3 & 1 & 0 &[2, 2] & 0 & & 0.75 & 3 & 1 & 0 &[2, 2]& 
 &33 & 2.17 & 4 & 1 & 0 &[3, 2] & 0 & & 2.13 & 4 & 1 & 0 &[3, 2]& 
 &34 & 0.31 & 3 & 1 & 0 &[2, 2] & 0 & & 0.30 & 3 & 1 & 0 &[2, 2]& 
 &35 & 0.45 & 4 & 1 & 0 &[3, 2] & 0 & & 0.44 & 4 & 1 & 0 &[3, 2]& 
 &36 & 0.09 & 3 & 1 & 0 &[2, 2] & 0 & & 0.09 & 3 & 1 & 0 &[2, 2]& 
 &37 & 1.05 & 4 & 1 & 0 &[3, 2] & 0 & & 1.03 & 4 & 1 & 0 &[3, 2]& 
 &38 & 0.63 & 3 & 1 & 0 &[2, 2] & 0 & & 0.62 & 3 & 1 & 0 &[2, 2]& 
 &39 & 1.31 & 3 & 1 & 0 &[2, 2] & 0 & & 1.29 & 3 & 1 & 0 &[2, 2]& 
 &40 & 0.86 & 3 & 1 & 0 &[2, 2] & 0 & & 0.85 & 3 & 1 & 0 &[2, 2]& 
 &41 & 0.45 & 4 & 1 & 0 &[3, 2] & 0 & & 0.44 & 4 & 1 & 0 &[3, 2]& 
 &42 & 0.75 & 3 & 1 & 0 &[2, 2] & 0 & & 0.74 & 3 & 1 & 0 &[2, 2]& 
 &43 & 0.71 & 3 & 1 & 0 &[2, 2] & 0 & & 0.70 & 3 & 1 & 0 &[2, 2]& 
 &44 & 0.38 & 4 & 1 & 0 &[3, 2] & 0 & & 0.37 & 4 & 1 & 0 &[3, 2]& 
 &45 & 1.17 & 3 & 1 & 0 &[2, 2] & 0 & & 1.15 & 3 & 1 & 0 &[2, 2]& 
 &46 & 1.08 & 4 & 1 & 0 &[3, 2] & 0 & & 1.06 & 4 & 1 & 0 &[3, 2]& 
 &47 & 0.60 & 3 & 1 & 0 &[2, 2] & 0 & & 0.59 & 3 & 1 & 0 &[2, 2]& 
 &48 & 1.29 & 3 & 1 & 0 &[2, 2] & 0 & & 1.28 & 3 & 1 & 0 &[2, 2]& 
 &49 & 2.06 & 3 & 1 & 0 &[2, 2] & 0 & & 2.04 & 3 & 1 & 0 &[2, 2]& 
 &50 & 0.20 & 3 & 1 & 0 &[2, 2] & 0 & & 0.19 & 3 & 1 & 0 &[2, 2]& 
 80 & 0.83 & 0.92 & 0.05 & 0.05 & 0.98 & 3.44 & 2.44 & 2.00 &  0.00 & 50 & 1.0 & 0.92 & 0.05 & 0.05 & 0.97 & 3.44 & 2.44 & 2.00 &  50 &  1.0 \\ 
